UNCLASSIFIED
SYNTHETIC DATA — FOR EXERCISE AND DEVELOPMENT USE ONLY. NOT A REAL ASSESSMENT.
Order of battle table
etnity,attribute,value,unit,as_of,notes
21st Reserve Brigade,status,degraded,,2026-03-12,
Ilmaran Navy Patrol Squadron,status,operational,,2026-03-12,
Sondrian Border Guard,status,degraded,,2026-06-10,
Task Group Kestrel,located_at,Corvane Island,,2026-07-25,
Task Group Kestrel,subordinate_to,Joint Task Force Meridian,,2026-03-12,
Task Group Kestrel,status,operational,,2026-03-12,
Halden Brigade,located_at,Halden Airfield,,2026-07-25,
Halden Brigade,subordinate_to,Joint Task Force Meridian,,2026-03-12,
2nd Expeditionary Brigade,status,operational,,2026-03-12,alias
Auberon Air Expeditionary Wing,located_at,Port Auberon,,2026-03-12,
Auberon Air Expeditionary Wing,subordinate_to,Joint Task Force Meridian,,2026-03-12,
the wing,status,operational,,2026-03-12,alias
Meridian Logistics Group,located_at,Port Auberon,,2026-03-12,
Meridian Logistics Group,subordinate_to,Joint Task Force Meridian,,2026-03-12,
Meridian Logistics Group,status,operational,,2026-03-12,
Meridian Cyber Protection Team,located_at,Port Auberon,,2026-03-12,
Meridian Cyber Protection Team,subordinate_to,Joint Task Force Meridian,,2026-03-12,
Meridian Cyber Protection Team,status,operational,,2026-03-12,
Lantern Battery,located_at,Port Auberon,,2026-03-12,
Lantern Battery,subordinate_to,Joint Task Force Meridian,,2026-03-12,
Lantern Battery,status,operational,,2026-03-12,
Meridian Surveillance Detachment,located_at,Halden Airfield,,2026-03-12,
Meridian Surveillance Detachment,subordinate_to,Joint Task Force Meridian,,2026-03-12,
Meridian Surveillance Detachment,status,operational,,2026-03-12,
Ilmaran 3rd Coastal Division,located_at,Lisenne,,2026-03-12,
Ilmaran 3rd Coastal Division,subordinate_to,Ilmara,,2026-03-12,
Ilmaran 3rd Coastal Division,status,operational,,2026-03-12,
Ilmaran Navy Patrol Squadron,located_at,Port Auberon,,2026-03-12,
Ilmaran Navy Patrol Squadron,subordinate_to,Ilmara,,2026-03-12,
Ilmaran Border Guard,located_at,Ravel Crossing,,2026-03-12,
the border guard,subordinate_to,Ilmara,,2026-03-12,alias
Ilmaran Border Guard,status,operational,,2026-03-12,
Varenian Northern Fleet,located_at,Novak Naval Base,,2026-03-12,
Varenian Northern Fleet,subordinate_to,Varenia,,2026-03-12,
Novak fleet,status,operational,,2026-03-12,alias
7th Coastal Missile Brigade,located_at,Cape Dorne,,2026-03-12,
7th Coastal Missile Brigade,subordinate_to,Varenia,,2026-03-12,
the coastal missile brigade,status,operational,,2026-03-12,alias
the Serath regiment,located_at,Serath Missile Complex,,2026-03-12,alias
Serath Missile Regiment,subordinate_to,Varenia,,2026-03-12,
Serath Missile Regiment,status,operational,,2026-03-12,
12th Mechanized Brigade,located_at,Kessary Plain,,2026-03-12,
12th Mechanized Brigade,subordinate_to,Varenia,,2026-03-12,
12th Mechanized Brigade,status,operational,,2026-03-12,
14th Mechanized Brigade,located_at,Kessary Plain,,2026-03-12,
14th Mechanized Brigade,subordinate_to,Varenia,,2026-03-12,
14th Mechanized Brigade,status,operational,,2026-03-12,
21st Reserve Brigade,located_at,Kessary Plain,,2026-03-12,
21st Reserve Brigade,subordinate_to,Varenia,,2026-03-12,
Varenian Signals Directorate Nine,located_at,Serath Missile Complex,,2026-03-12,
Varenian Signals Directorate Nine,subordinate_to,Varenia,,2026-03-12,
Varenian Signals Directorate Nine,status,operational,,2026-03-12,
Varenian Coastal Air Brigade,located_at,Novak Naval Base,,2026-03-12,
Varenian Coastal Air Brigade,subordinate_to,Varenia,,2026-03-12,
Varenian Coastal Air Brigade,status,operational,,2026-03-12,
Sondrian Border Guard,located_at,Sondrian border camps,,2026-03-12,
Sondrian Border Guard,subordinate_to,Sondria,,2026-03-12,
Corvane Coastal Authority,located_at,Corvane Island,,2026-03-12,
the coastal authority,subordinate_to,Corvane,,2026-03-12,alias
the coastal authority,status,operational,,2026-03-12,alias
frigate Vigil,located_at,Corvane Island,,2026-07-25,
frigate Vigil,subordinate_to,Task Group Kestrel,,2026-03-12,
frigate Vigil,status,operational,,2026-03-12,
frigate Cormorant,located_at,Corvane Island,,2026-07-25,
frigate Cormorant,subordinate_to,Task Group Kestrel,,2026-03-12,
frigate Cormorant,status,operational,,2026-03-12,
frigate Petrel,located_at,Corvane Island,,2026-07-25,
frigate Petrel,subordinate_to,Task Group Kestrel,,2026-03-12,
frigate Petrel,status,operational,,2026-03-12,
frigate Gannet,located_at,Corvane Island,,2026-07-25,
frigate Gannet,subordinate_to,Task Group Kestrel,,2026-03-12,
frigate Gannet,status,operational,,2026-03-12,
frigate Skua,located_at,Corvane Island,,2026-07-25,
frigate Skua,subordinate_to,Task Group Kestrel,,2026-03-12,
frigate Skua,status,operational,,2026-03-12,
1st Battalion, Halden Brigade,located_at,Halden Airfield,,2026-03-12,
1st Battalion, Halden Brigade,subordinate_to,Halden Brigade,,2026-03-12,
1st Battalion, Halden Brigade,status,operational,,2026-03-12,
2nd Battalion, Halden Brigade,located_at,Halden Airfield,,2026-03-12,
2nd Battalion, Halden Brigade,subordinate_to,Halden Brigade,,2026-03-12,
2nd Battalion, Halden Brigade,status,operational,,2026-03-12,
Halden Brigade Support Battalion,located_at,Halden Airfield,,2026-03-12,
Halden Brigade Support Battalion,subordinate_to,Halden Brigade,,2026-03-12,
Halden Brigade Support Battalion,status,operational,,2026-03-12,
Auberon Wing Strike Squadron,located_at,Port Auberon,,2026-03-12,
Auberon Wing Strike Squadron,subordinate_to,Auberon Air Expeditionary Wing,,2026-03-12,
the strike squadron,status,operational,,2026-03-12,alias
Auberon Wing Airlift Squadron,located_at,Port Auberon,,2026-03-12,
Auberon Wing Airlift Squadron,subordinate_to,Auberon Air Expeditionary Wing,,2026-03-12,
Auberon Wing Airlift Squadron,status,operational,,2026-03-12,
31st Ilmaran Regiment,located_at,Lisenne,,2026-03-12,
31st Ilmaran Regiment,subordinate_to,Ilmaran 3rd Coastal Division,,2026-03-12,
31st Regiment,status,operational,,2026-03-12,alias
32nd Ilmaran Regiment,located_at,Lisenne,,2026-03-12,
32nd Regiment,subordinate_to,Ilmaran 3rd Coastal Division,,2026-03-12,alias
32nd Ilmaran Regiment,status,operational,,2026-03-12,
the coastal artillery,located_at,Lisenne,,2026-03-12,alias
Ilmaran Coastal Artillery Group,subordinate_to,Ilmaran 3rd Coastal Division,,2026-03-12,
Ilmaran Coastal Artillery Group,status,operational,,2026-03-12,
frigate Dravik,located_at,Novak Naval Base,,2026-03-12,
frigate Dravik,subordinate_to,Varenian Northern Fleet,,2026-03-12,
Dravik,status,operational,,2026-03-12,alias
Morova,located_at,Novak Naval Base,,2026-03-12,alias
frigate Morova,subordinate_to,Varenian Northern Fleet,,2026-03-12,
frigate Morova,status,operational,,2026-03-12,
frigate Selen,located_at,Novak Naval Base,,2026-03-12,
frigate Selen,subordinate_to,Varenian Northern Fleet,,2026-03-12,
frigate Selen,status,operational,,2026-03-12,
frigate Tarnov,located_at,Novak Naval Base,,2026-03-12,
frigate Tarnov,subordinate_to,Varenian Northern Fleet,,2026-03-12,
Tarnov,status,operational,,2026-03-12,alias
frigate Iskra,located_at,Novak Naval Base,,2026-03-12,
frigate Iskra,subordinate_to,Varenian Northern Fleet,,2026-03-12,
frigate Iskra,status,operational,,2026-03-12,
frigate Vorna,located_at,Novak Naval Base,,2026-03-12,
frigate Vorna,subordinate_to,Varenian Northern Fleet,,2026-03-12,
frigate Vorna,status,operational,,2026-03-12,
submarine Ushen,located_at,Novak Naval Base,,2026-03-12,
Ushen,subordinate_to,Varenian Northern Fleet,,2026-03-12,alias
submarine Ushen,status,operational,,2026-03-12,
Kalvo,located_at,Novak Naval Base,,2026-03-12,alias
submarine Kalvo,subordinate_to,Varenian Northern Fleet,,2026-03-12,
submarine Kalvo,status,operational,,2026-03-12,
Reska,located_at,Novak Naval Base,,2026-03-12,alias
submarine Reska,subordinate_to,Varenian Northern Fleet,,2026-03-12,
Reska,status,operational,,2026-03-12,alias
submarine Dolen,located_at,Novak Naval Base,,2026-03-12,
submarine Dolen,subordinate_to,Varenian Northern Fleet,,2026-03-12,
submarine Dolen,status,operational,,2026-03-12,
1st Dorne Battery,located_at,Cape Dorne,,2026-03-12,
1st Dorne Battery,subordinate_to,7th Coastal Missile Brigade,,2026-03-12,
1st Dorne Battery,status,operational,,2026-03-12,
2nd Battery,located_at,Cape Dorne,,2026-03-12,alias
2nd Dorne Battery,subordinate_to,7th Coastal Missile Brigade,,2026-03-12,
2nd Dorne Battery,status,operational,,2026-03-12,
3rd Dorne Battery,located_at,Cape Dorne,,2026-03-12,
3rd Dorne Battery,subordinate_to,7th Coastal Missile Brigade,,2026-03-12,
3rd Dorne Battery,status,operational,,2026-03-12,
121st Battalion,located_at,Kessary Plain,,2026-03-12,alias
121st Mechanized Battalion,subordinate_to,12th Mechanized Brigade,,2026-03-12,
121st Mechanized Battalion,status,operational,,2026-03-12,
122nd Mechanized Battalion,located_at,Kessary Plain,,2026-03-12,
122nd Mechanized Battalion,subordinate_to,12th Mechanized Brigade,,2026-03-12,
122nd Mechanized Battalion,status,operational,,2026-03-12,
123rd Mechanized Battalion,located_at,Kessary Plain,,2026-03-12,
123rd Mechanized Battalion,subordinate_to,12th Mechanized Brigade,,2026-03-12,
123rd Mechanized Battalion,status,operational,,2026-03-12,
141st Mechanized Battalion,located_at,Kessary Plain,,2026-03-12,
141st Battalion,subordinate_to,14th Mechanized Brigade,,2026-03-12,alias
141st Mechanized Battalion,status,operational,,2026-03-12,
142nd Mechanized Battalion,located_at,Kessary Plain,,2026-03-12,
142nd Mechanized Battalion,subordinate_to,14th Mechanized Brigade,,2026-03-12,
142nd Mechanized Battalion,status,operational,,2026-03-12,
143rd Mechanized Battalion,located_at,Kessary Plain,,2026-03-12,
143rd Battalion,subordinate_to,14th Mechanized Brigade,,2026-03-12,alias
143rd Mechanized Battalion,status,operational,,2026-03-12,
211th Reserve Battalion,located_at,Kessary Plain,,2026-03-12,
211th Reserve Battalion,subordinate_to,21st Reserve Brigade,,2026-03-12,
211th Battalion,status,operational,,2026-03-12,alias
212th Reserve Battalion,located_at,Kessary Plain,,2026-03-12,
212th Reserve Battalion,subordinate_to,21st Reserve Brigade,,2026-03-12,
212th Reserve Battalion,status,operational,,2026-03-12,
Varenian 4th Strike Squadron,located_at,Novak Naval Base,,2026-03-12,
4th Strike Squadron,subordinate_to,Varenian Coastal Air Brigade,,2026-03-12,alias
Varenian 4th Strike Squadron,status,operational,,2026-03-12,
Varenian 9th Reconnaissance Squadron,located_at,Novak Naval Base,,2026-03-12,
Varenian 9th Reconnaissance Squadron,subordinate_to,Varenian Coastal Air Brigade,,2026-03-12,
Varenian 9th Reconnaissance Squadron,status,operational,,2026-03-12,
Tern,located_at,Port Auberon,,2026-03-12,alias
patrol boat Tern,subordinate_to,Ilmaran Navy Patrol Squadron,,2026-03-12,
patrol boat Tern,status,operational,,2026-03-12,
patrol boat Plover,located_at,Port Auberon,,2026-03-12,
patrol boat Plover,subordinate_to,Ilmaran Navy Patrol Squadron,,2026-03-12,
patrol boat Plover,status,operational,,2026-03-12,
patrol boat Sanderling,located_at,Port Auberon,,2026-03-12,
patrol boat Sanderling,subordinate_to,Ilmaran Navy Patrol Squadron,,2026-03-12,
