UNCLASSIFIED
SYNTHETIC DATA — FOR EXERCISE AND DEVELOPMENT USE ONLY. NOT A REAL ASSESSMENT.
Unit readiness table
entity,attribute,value,unit,as_of,notes
Task Group Kestrel,posture_state,postured_to_react,,2026-07-25,
Halden Brigade,posture_state,out_of_position,,2026-07-25,
Lantern Battery,posture_state,hardened,,2026-07-10,
Meridian Cyber Protection Team,posture_state,unmitigated,,2026-08-09,
Task Group Kestrel,readiness,0.85,fraction,2026-08-09,
Halden Brigade,readiness,0.8,fraction,2026-08-09,
Auberon Air Expeditionary Wing,readiness,0.88,fraction,2026-08-09,
Meridian Logistics Group,readiness,0.9,fraction,2026-08-09,
Meridian Cyber Protection Team,readiness,0.75,fraction,2026-08-09,
Lantern Battery,readiness,0.82,fraction,2026-08-09,
Meridian Surveillance Detachment,readiness,0.78,fraction,2026-08-09,
Ilmaran 3rd Coastal Division,readiness,0.65,fraction,2026-08-09,
Ilmaran Navy Patrol Squadron,readiness,0.7,fraction,2026-08-09,
Ilmaran Border Guard,readiness,0.6,fraction,2026-08-09,
Varenian Northern Fleet,readiness,0.7,fraction,2026-08-09,
7th Coastal Missile Brigade,readiness,0.8,fraction,2026-08-09,
Serath Missile Regiment,readiness,0.75,fraction,2026-08-09,
12th Mechanized Brigade,readiness,0.72,fraction,2026-08-09,
14th Mechanized Brigade,readiness,0.68,fraction,2026-08-09,
21st Reserve Brigade,readiness,0.4,fraction,2026-08-09,
Varenian Signals Directorate Nine,readiness,0.8,fraction,2026-08-09,
Varenian Coastal Air Brigade,readiness,0.66,fraction,2026-08-09,
Sondrian Border Guard,readiness,0.5,fraction,2026-08-09,
Corvane Coastal Authority,readiness,0.55,fraction,2026-08-09,
frigate Vigil,readiness,0.87,fraction,2026-08-09,
frigate Cormorant,readiness,0.83,fraction,2026-08-09,
frigate Petrel,readiness,0.9,fraction,2026-08-09,
frigate Gannet,readiness,0.86,fraction,2026-08-09,
frigate Skua,readiness,0.82,fraction,2026-08-09,
1st Battalion, Halden Brigade,readiness,0.84,fraction,2026-08-09,
2nd Battalion, Halden Brigade,readiness,0.8,fraction,2026-08-09,
Halden Brigade Support Battalion,readiness,0.76,fraction,2026-08-09,
Auberon Wing Strike Squadron,readiness,0.91,fraction,2026-08-09,
Auberon Wing Airlift Squadron,readiness,0.87,fraction,2026-08-09,
31st Ilmaran Regiment,readiness,0.6,fraction,2026-08-09,
32nd Ilmaran Regiment,readiness,0.67,fraction,2026-08-09,
Ilmaran Coastal Artillery Group,readiness,0.63,fraction,2026-08-09,
frigate Dravik,readiness,0.75,fraction,2026-08-09,
frigate Morova,readiness,0.71,fraction,2026-08-09,
frigate Selen,readiness,0.67,fraction,2026-08-09,
frigate Tarnov,readiness,0.74,fraction,2026-08-09,
frigate Iskra,readiness,0.7,fraction,2026-08-09,
frigate Vorna,readiness,0.66,fraction,2026-08-09,
submarine Ushen,readiness,0.73,fraction,2026-08-09,
submarine Kalvo,readiness,0.69,fraction,2026-08-09,
submarine Reska,readiness,0.65,fraction,2026-08-09,
submarine Dolen,readiness,0.72,fraction,2026-08-09,
1st Dorne Battery,readiness,0.78,fraction,2026-08-09,
2nd Dorne Battery,readiness,0.85,fraction,2026-08-09,
3rd Dorne Battery,readiness,0.81,fraction,2026-08-09,
121st Mechanized Battalion,readiness,0.69,fraction,2026-08-09,
122nd Mechanized Battalion,readiness,0.76,fraction,2026-08-09,
123rd Mechanized Battalion,readiness,0.72,fraction,2026-08-09,
141st Mechanized Battalion,readiness,0.64,fraction,2026-08-09,
142nd Mechanized Battalion,readiness,0.71,fraction,2026-08-09,
143rd Mechanized Battalion,readiness,0.67,fraction,2026-08-09,
211th Reserve Battalion,readiness,0.35,fraction,2026-08-09,
212th Reserve Battalion,readiness,0.42,fraction,2026-08-09,
Varenian 4th Strike Squadron,readiness,0.64,fraction,2026-08-09,
Varenian 9th Reconnaissance Squadron,readiness,0.71,fraction,2026-08-09,
patrol boat Tern,readiness,0.71,fraction,2026-08-09,
patrol boat Plover,readiness,0.67,fraction,2026-08-09,
patrol boat Sanderling,readiness,0.74,fraction,2026-08-09,
patrol boat Curlew,readiness,0.7,fraction,2026-08-09,
Auberon Supply Battalion,readiness,0.86,fraction,2026-08-09,
Meridian Munitions Detachment,readiness,0.93,fraction,2026-08-09,
1st Serath Battery,readiness,0.74,fraction,2026-08-09,
2nd Serath Battery,readiness,0.7,fraction,2026-08-09,
Ravel Crossing Border Post,readiness,0.62,fraction,2026-08-09,
Coastal Road Checkpoint,readiness,0.58,fraction,2026-08-09,
Lantern Battery Fire Unit Alpha,readiness,0.87,fraction,2026-08-09,
Lantern Battery Fire Unit Bravo,readiness,0.83,fraction,2026-08-09,
patrol boat Tern,readiness,0.71,fraction,2026-08-09,
patrol boat Plover,readiness,0.67,fratcion,2026-08-09,
patrol boat Sanderilng,readienss,0.74,rfactino,2026-08-09,
patrol boat Curlew,readiness,0.7,rfaction,2026-08-09,
Lnatern Battery Fire Unit Alpha,raediness,0.87,fraction,2026-08-09,
Lantern aBttery Fire Unit Bravo,readiness,0.83,fraction,2026-08-09,
Task Group Kestrel,posture_state,postured_to_react,,2026-07-25,
Auebroo Wing Airlift Squadron,readiness,0.87,fraction,2026-08-09,
Acronyms used: none
UNCLASSIFIED
